,kcat,MW,kcat_MW
NTD3_num1,7.110571428571428,159703.77129999976,160.28461278332492
CYTK2,91.23111111111109,25096.17880000003,13086.93258114656
GUAD_1,59.83166666666666,17156.242199999993,12554.847238050772
LCGH_num1,81.0,77498.26490000029,3762.664885159241
BUTKr,999.0,39762.92190000003,90446.06955808238
CHRS,0.43915,42805.284400000055,36.933290414021826
CHORM_num1,36.955999999999996,14516.8232,9164.649742376143
ADCS,9.03523529411765,128185.7379000001,253.74778498523983
ICHORS_num1,10.242083333333332,52811.07910000006,698.1773640751068
PPOR_1,39.025999999999996,41433.62860000006,3390.810912467362
R01731,268.1982023812143,40035.96450000003,24116.155077826854
GLYOX_num1,5527.248266852328,23224.9557,856754.8639357955
GNKh,9.4,57168.6641000001,591.9326703315418
HOXPRx,133.0,30711.067199999976,15590.470916621236
TARTDC,103.98120746153845,38727.58720000003,9665.78023382614
r0393_num1,1.374,53320.427500000085,92.7674482729905
ARAI,241.7,56121.22050000005,15504.295741394275
HXAND,5.9187,207064.07970000047,102.90205829456549
HSK,11.78181818181818,33323.999899999995,1272.792749424581
HSDxi,32.798559999999995,47493.871700000076,2486.106349590358
HSDy,32.798559999999995,47493.871700000076,2486.106349590358
HSST,14.433428571428573,35369.95350000002,1469.0531854146438
GLUKA,129.54047571428572,33603.12650000003,13878.045323295384
ACNPLYS,6.39483334,40889.27350000005,563.0180742634121
PMANM,24.803846153846155,64662.31410000018,1380.9256194536026
MAN6PI_num1,15566.5,36002.34930000003,1556548.4222442103
DDPA,36.955999999999996,39538.97480000005,3364.8216898127534
TALA,154.62857142857143,22971.190900000005,24233.08654593337
FBA3hi,5.414017542105262,30400.23550000002,641.1286896635697
TKT2,64521.70588235294,72343.55070000034,3210765.008476001
PFK_3,84.62,34253.758999999984,8893.388897843302
NTPTP1_num1,4000.0,50973.24760000002,282501.1290824639
NDPK5,194.85327777777775,16958.411799999994,41364.23907337833
PPCOAC_num1,3.84,56181.473200000066,246.0597633456145
PUNP5_num1,7950.0,29126.282700000003,982617.6685430576
DHORDfum,151.8909090909091,61189.99420000002,8936.220371912907
ORPT,262.62268,23521.64120000001,40194.544248043356
PYNP2r,73.2488888888889,46206.73220000003,5706.87402992761
3NTD2pp_num1,7.110571428571428,159703.77129999976,160.28461278332492
CYTD,4.383333333333333,14853.892499999994,1062.3477987335646
DGTUP,1.6020500000000002,24486.733400000016,235.5308037943516
R01898,7812.9885,19251.378499999995,1461025.6922640637
r0423,21.026129032258066,46417.18370000006,1630.7336740925311
ACONTb,999.0,99332.77320000046,36205.57328807148
SPMS,89.61916666666669,31335.5293,10295.948631063971
DGNSKm_num1,1.72,25443.51070000002,243.36264256174343
NTD8_num1,7.110571428571428,159703.77129999976,160.28461278332492
PUNP4_num1,7950.0,29126.282700000003,982617.6685430576
HACD1i,1111.9,87084.28870000046,45965.12252387473
HMGCOAS,1.2808499999999998,46779.76490000002,98.56954197732612
GUI2,67.86666666666666,54611.52130000004,4473.781249525451
DHORTSn,64.35333333333334,46532.4461,4978.719569182503
GRTT,7.893761928571428,32502.782400000015,874.3110849136758
TRDR_num1,14.073054999999998,71359.36610000007,709.9698437483729
RNDR1_num1,2.831166666666667,133668.25740000038,76.24996538632193
RNDR4_num1,2.831166666666667,133668.25740000038,76.24996538632193
RNDR2_num1,2.831166666666667,133668.25740000038,76.24996538632193
PAPSR_num1,0.24975,26974.26450000003,33.33177073280345
RNDR3_num1,2.831166666666667,133668.25740000038,76.24996538632193
METSOXR1,111.2646,20182.20109999999,19846.822356754743
PGL,14.3,38410.185100000046,1340.269510963641
AGDC,131.68615625,42621.90770000005,11122.687558633128
PGAMT,1.5664,48432.4586,116.43100852204105
MGCH,97.82,27872.0757,12634.581069252768
NTD6_num1,7.110571428571428,159703.77129999976,160.28461278332492
DADNKn_num1,1.72,25443.51070000002,243.36264256174343
DGK1,52.0,23218.104300000028,8062.673747227494
DGTCY,1.6020500000000002,24486.733400000016,235.5308037943516
NDPK4m,194.85327777777775,16958.411799999994,41364.23907337833
DTMPK,5527.248266852328,23866.13360000001,833737.6340115841
DTTGY,1.6020500000000002,24486.733400000016,235.5308037943516
DTTUP,1.6020500000000002,24486.733400000016,235.5308037943516
URIDK2r,5527.248266852328,23866.13360000001,833737.6340115841
DURIK1,0.86,21450.16720000001,144.33453926643512
DUTPDP_num1,16.87076923076923,16409.578799999992,3701.177828572253
TMDS_num1,4.90649271875,32806.845500000025,538.4051260734589
XAND,5.9187,207064.07970000047,102.90205829456549
URO,3.26,56558.90310000012,207.5004881061772
