,fluxes,equ,ec-code,kcat_MW,E
rxn10308,8.516711999999999e-07,BSU35530,2.7.8.-,,
rxn10309,1.3540755839999998e-06,BSU35530,2.7.8.-,,
rxn10310,2.8267075199999997e-06,BSU35530,2.7.8.-,,
rxn10311,6.6432268799999994e-06,BSU35530,2.7.8.-,,
rxn10312,4.07448768e-07,BSU35530,2.7.8.-,,
rxn10313,7.12622208e-06,BSU35530,2.7.8.-,,
rxn10314,1.20734208e-05,BSU35530,2.7.8.-,,
rxn10315,1.7302372799999999e-06,BSU35530,2.7.8.-,,
rxn10316,1.1784353279999998e-05,BSU35520,,479866.6883943146,2.4557556431832574e-11
rxn10317,2.7077827199999997e-06,BSU35520,,479866.6883943146,5.6427811837919636e-12
rxn10318,4.279395839999999e-06,BSU35520,,479866.6883943146,8.917884786542106e-12
rxn10319,8.944841279999998e-06,BSU35520,,479866.6883943146,1.8640263007066394e-11
rxn10320,2.1021964799999997e-05,BSU35520,,479866.6883943146,4.380792688557263e-11
rxn10321,1.294979808e-06,BSU35520,,479866.6883943146,2.6986240956486087e-12
rxn10322,2.26135872e-05,BSU35520,,479866.6883943146,4.712472806909662e-11
rxn10323,3.83114784e-05,BSU35520,,479866.6883943146,7.983775353983065e-11
rxn10324,5.483254079999999e-06,BSU35520,,479866.6883943146,1.1426619543747776e-11
rxn10325,1.30260504e-05,,,,
rxn10326,3.1747814399999997e-06,,,,
rxn10327,4.47646536e-06,,,,
rxn10328,9.614987999999999e-06,,,,
rxn10329,2.2595255999999997e-05,,,,
rxn10330,1.5182519999999999e-06,,,,
rxn10331,2.57361384e-05,,,,
rxn10332,4.36017168e-05,,,,
rxn10333,6.0620183999999996e-06,,,,
rxn10334_num1,2.73661104e-06,BSU36590,2.7.8.-,,
rxn10335_num1,6.794582399999999e-07,BSU36590,2.7.8.-,,
rxn10336_num1,9.2578488e-07,BSU36590,2.7.8.-,,
rxn10337_num1,2.00312592e-06,BSU36590,2.7.8.-,,
rxn10338_num1,4.7067864e-06,BSU36590,2.7.8.-,,
rxn10339_num1,0.0,BSU36590,2.7.8.-,,
rxn10340_num1,5.457635999999999e-06,BSU36590,2.7.8.-,,
rxn10341_num1,9.2441232e-06,BSU36590,2.7.8.-,,
rxn10342_num1,1.27329792e-06,BSU36590,2.7.8.-,,
HG2abc_num1,0.0,BSU33490,"7.2.2.9,7.2.2.21,7.2.2.12",14322.770931643508,0.0
rxn10344_num1,0.0,BSU33490,"7.2.2.9,7.2.2.21,7.2.2.12",14322.770931643508,0.0
rxn10474_num1,0.0,BSU08000,,547900.3716786911,0.0
GLYt4,0.0,BSU07750,,409466.1839410932,0.0
H2St1,0.0,,,,
GLYabc,0.0,BSU02980 and BSU02990 and BSU03000,7.6.2.9,,
rxn11395,0.0,,,,
rxn11397,0.0,,,,
rxn11398,0.0,,,,
rxn11399,0.0,,,,
rxn11400,0.0,,,,
rxn11401,0.0,,,,
rxn11402,0.0,,,,
rxn11403,0.0,,,,
rxn11404,0.0,,,,
PEAMNt,0.0,,,,
rxn11407,0.0,,,,
PACALDt2r,0.0,,,,
rxn12519,0.0,,,,
rxn10200,0.0018239999999999999,,,,
rxn10201,0.00456,,,,
bio00006,0.06,,,,
rxn11921,0.0,,,,
rxn05296,0.031703999999999996,BSU00670 and BSU00990 and BSU01030 and BSU01040 and BSU01050 and BSU01100 and BSU01110 and BSU01150 and BSU01160 and BSU01170 and BSU01180 and BSU01190 and BSU01200 and BSU01210 and BSU01220 and BSU01230 and BSU01240 and BSU01250 and BSU01260 and BSU01270 and BSU01280 and BSU01290 and BSU01300 and BSU01310 and BSU01320 and BSU01330 and BSU01340 and BSU01350 and BSU01400 and BSU01410 and BSU01420 and BSU01440 and BSU01490 and BSU01500 and BSU15080 and BSU15820 and BSU15990 and BSU16040 and BSU16490 and BSU16680 and BSU24900 and BSU25410 and BSU25550 and BSU27940 and BSU27960 and BSU28850 and BSU28860 and BSU29660 and BSU37070 and BSU40500 and BSU40890 and BSU40910 and BSU41060 and BSU15730,,26253.094764061934,1.2076290542096335e-06
R01623,0.0,,,,
T00001,0.0,,,,
EX_phe__L_e,0.0,,,,
EX_tartr__L_e,0.0,,,,
EX_ptrc_e,0.0,,,,
EX_stys_e,0.0,,,,
EX_C00246_e,0.0,,,,
EX_d5kg_e,0.0,,,,
T00245,0.0,,,,
T00246,0.0,,,,
T00247,0.0,,,,
T00248,0.0,,,,
T00249,0.0,,,,
R02949,0.0,,,,
T00003,0.0,,,,
T00250,0.0,,,,
T00251,0.0,,,,
T00252,0.0,,,,
EX_cpd16500_e,0.0,,,,
EX_actn__R_e,0.0,,,,
EX_actn__S_e,0.0,,,,
T00253,0.0,,,,
T00254,0.0,,,,
T00004,0.0,BSU39680,,655031.8108111775,0.0
T00005,0.0,BSU39700,,135171.79660910755,0.0
T00006_num1,0.0,BSU10850,,553195.0402494486,0.0
EX_C19891_e,0.0,,,,
EX_C06153_e,0.0,,,,
PDH,6.927026730361023,BSU14580 and BSU14590 and BSU14600 and BSU14610,,15739.63054876153,0.00044010097371097916
GSNabc,0.0,BSU31540 and BSU31550 and BSU31560 and BSU31570,,125486.09688749393,0.0
AKGDH,2.24938389934773,BSU19360 and BSU19370 and BSU14610,,14642.813422941885,0.00015361692008063617
FCLT3,0.0,BSU10130,4.99.1.9,20.766462860693014,0.0
ICDHyr,2.31653742152013,BSU29130,1.1.1.42,38739.96345021677,5.979709878913601e-05
GTPCI_num1,0.0,BSU22780,3.5.4.16,0.01866236798813481,0.0
EX_h2o_e_reverse,0.0,,,,
EX_pi_e_reverse,9.947816687397944,,,,
EX_co2_e_reverse,0.0,,,,
EX_nh4_e_reverse,5.0237193818027235,,,,
EX_so4_e_reverse,0.011889265620000023,,,,
EX_ca2_e_reverse,0.0001789799999999996,,,,
EX_h_e_reverse,0.512186771860035,,,,
EX_k_e_reverse,0.039456,,,,
EX_glc__D_e_reverse,7.885183873773898,,,,
EX_mg2_e_reverse,0.0056844,,,,
EX_na1_e_reverse,0.0,,,,
EX_fe3_e_reverse,0.00019254,,,,
HXAD_reverse,0.0,BSU01660,,327.4601418652194,0.0
HCO3E_reverse_num1,4.707272590345809,BSU30690,,495874742.3078874,9.492866219475795e-09
AHCi_reverse,0.0,,,,
AHCYSNS_reverse,0.0,BSU27270,,774.6866338255762,0.0
PTAr_reverse,0.0,BSU37660,,37911.18689673737,0.0
ACACT1x_reverse_num1,0.0,BSU10350,,7500.325580539325,0.0
GLUDxi_reverse_num1,0.0,BSU22960,,2575.250050214855,0.0
r0074_reverse_num1,0.0,BSU37780,,383.41098025794486,0.0
ALATA_L_reverse,0.0,,,,
GLUR_reverse_num1,0.0,BSU28390,,3354.215698430845,0.0
R00264_reverse,0.0,BSU02470,,23.59288893843278,0.0
UDPGD_reverse_num1,0.0,BSU35580,,642.2744359023122,0.0
GALUi_reverse_num1,0.0,BSU18180,,5678.1041012722835,0.0
UDPG4E_reverse,0.0,BSU38860,,218705.71550098187,0.0
FCLT_reverse,0.0,BSU38260,,7.878793895321392,0.0
MDHm_reverse_num1,0.0,BSU12320,,53480.98931073258,0.0
ASPTA_reverse_num1,0.0,BSU22370,,971.2796641603155,0.0
AGTi_reverse,0.0,BSU32520,,1583.3148551298184,0.0
GLYATm_reverse,0.0,BSU17000,,,
ALAD_L_reverse,2.6311686869711113,BSU31930,,6265.8195139608615,0.0004199241106623976
ALAR_reverse_num1,0.0,BSU04640,,99018.50633000881,0.0
SUCOAS_reverse,6.642739874979087,BSU16090 and BSU16100,,1867.995396628746,0.0035560793602422863
SUCD1_reverse,0.0,BSU28430 and BSU28440 and BSU28450,,,
MCITL2m_reverse,0.0,BSU24120,,6876.230304912654,0.0
OCOAT1_reverse,4.401264887175357,BSU38980 and BSU38990,,,
UAG2EMA_reverse,0.0,BSU35660,,255.87356299049483,0.0
UAGDP_reverse,0.0,BSU00500,,757.3148569372652,0.0
UAG4Ei_reverse_num1,0.0,BSU38860,,218705.71550098187,0.0
UAG2E_reverse,0.0,BSU35660,,255.87356299049483,0.0
LYSAM_reverse,0.0,BSU19690,,691.4206695943058,0.0
GLYCLTDym_reverse,0.0,BSU34680,,,
DDPGA_reverse,0.0,BSU22100,,4416.092623134448,0.0
GTHRDH_syn_reverse_num1,0.0,BSU18410,,29229.580754367315,0.0
GALT_reverse,0.0,BSU38190,,,
NFORGLUAH_reverse_num1,0.0,BSU14560,,20.91467331795882,0.0
R00526_reverse_num1,0.0,BSU14560,,20.91467331795882,0.0
ARGN_reverse,0.0,BSU40320,,44119.797009336995,0.0
SPTix_reverse,0.10466292309935643,BSU32520,,1583.3148551298184,6.610367025879698e-05
ALCD1_reverse,0.0,,,,
FMETDF_reverse_num1,0.0,BSU15720,,24.303531941158784,0.0
ENOm_reverse,0.0,BSU33900,,1038.5174229604593,0.0
UAGCVT_reverse_num1,0.0,BSU36760,,59.35730924803292,0.0
ORNTA_reverse,0.013469095656,BSU40340,,119.73799902098524,0.00011248806365671277
ACODA_reverse_num1,0.0,BSU19710,,93022.71606840246,0.0
TRPS2_reverse,0.0,BSU22630 and BSU22640,,506.7299032387935,0.0
PHETA1_reverse_num1,0.0,BSU22620,,13933.763368078706,0.0
LDH_Lm_reverse,2.2011763585802067,BSU03050,,2817.4605255583992,0.0007812625371721757
MMSAD3_reverse,0.0,BSU39760,,31.669553597932076,0.0
P5CD_reverse_num1,0.0,BSU03210,,382.7050565108757,0.0
ALDD2x_reverse_num1,0.0,BSU07350,,92.7674482729905,0.0
SSALy_reverse,0.0,BSU03910,,502.09586025464927,0.0
GLYCLTDx_reverse,0.0,BSU34680,,,
TYRTA_reverse_num1,0.0,BSU22620,,13933.763368078706,0.0
R00753_reverse,0.0,,,,
ALCD2x_reverse_num1,2.200083505260207,BSU18430,,45390.92013075872,4.846968289962779e-05
GF6PTA_reverse,0.0,BSU01780,,336.0925460197211,0.0
SAGH_reverse,0.0,BSU31290,,11665.852140043917,0.0
ISOMS_reverse,0.0,,,,
TRE6PH_reverse,0.0,BSU07810,,2126.317822289713,0.0
MAL6PG_reverse,0.0,BSU08180,,15.646733052826244,0.0
CLB6PH_reverse_num1,0.0,BSU38560,,1874.2868543267139,0.0
G3PD1ir_reverse,13.821052289255446,BSU22830,,,
G3PCT_reverse,0.0,BSU35740,,2215.914694094418,0.0
SBTD_D2_reverse,0.0,BSU06150,,2393.898153528727,0.0
R00878_reverse,0.0,BSU17600,,337.718783335043,0.0
AMPTASECGe_reverse,0.0,BSU32050,,18225.881906124425,0.0
PTA2_reverse,0.00657235579776,BSU37660,,37911.18689673737,1.7336191071152184e-07
MACCOAT_reverse_num1,0.0,BSU32830,,7003.420346478321,0.0
MMTSAO_reverse,0.0,BSU39760,,31.669553597932076,0.0
DHFR_reverse,1.2409859999999717e-05,BSU21810,,10485.27977486218,1.183550679281978e-09
GHMT2r_reverse,0.07845600600575642,BSU36900,,1378.041596476659,5.6932973726156526e-05
METS_1_reverse,0.0,BSU13180,,238873.04346085066,0.0
G1PCTYT_reverse,0.0,BSU07270,,,
PGMTh_reverse,0.015341875239264002,BSU01770,,58.21550426102053,0.00026353589879554636
ITCY_reverse,0.0,BSU27330,,235.5308037943516,0.0
URIK3_reverse,0.0,BSU27330,,235.5308037943516,0.0
TPI_reverse_num1,0.0,BSU33920,,738204.4553243861,0.0
GPDDA1pp_reverse_num1,0.0,BSU09620,,267.8885775305276,0.0
GLYCDx_reverse,0.10463589627575644,,,,
ALCD19_reverse_num1,0.0,BSU18430,,45390.92013075872,0.0
R01056_reverse,1.5214188488839782,BSU36920,,539501.8489694028,2.82004380854358e-06
R01057_reverse,0.0,BSU23500,,8665.00171050976,0.0
GAPDHf_reverse,0.0,BSU33940,,2679.310325957089,0.0
DRPA_reverse,0.00109285332,BSU39420,,16649.208009697293,6.563995833095906e-08
TGBPA_reverse,0.0,,,,
FBAf_reverse,0.0,BSU37120,,641.1286896635697,0.0
FUM_reverse,2.286624158735723,BSU33040,,6252.3322295229345,0.00036572339325451953
ADSL1r_reverse,0.0,BSU06440,,28.690967064657244,0.0
ARGSL_reverse,0.0,BSU29440,,27833.917109376158,0.0
LLEUDr_reverse,0.024169163951999997,BSU24080,,4836.197648156262,4.997555044346498e-06
DGGH_reverse,0.0,BSU30300,,8551.243386950953,0.0
RAFGH_reverse,0.0,BSU30300,,8551.243386950953,0.0
IDIh_reverse,0.0,BSU22870,,26013.87466954335,0.0
IMPC_reverse,0.017289597731996422,BSU06520,,298.38151328328763,5.7944600996716016e-05
IMPD_reverse,0.0,BSU00090,,97826.86387932698,0.0
AGMT_reverse,0.0,BSU37490,,168.35872802759866,0.0
R01163_reverse,0.0,BSU34910,,396.26413849439217,0.0
PBUTT_reverse,0.0,BSU24090,,68984.27670675713,0.0
ACACT2r_reverse_num1,0.0,BSU32830,,7003.420346478321,0.0
BUTCT_reverse,4.401264887175357,BSU19720 and BSU19730,,21866.718988167755,0.00020127687603965248
IBTMr_reverse,0.000751339391424008,,,,
INS2D_reverse_num1,0.0,BSU39700,,1361.1412047755425,0.0
ACGAM2E_reverse,0.0,,,,
VALTA_reverse_num1,0.0,BSU02390,,1706.282766133735,0.0
MTHFD_reverse,2.172297478908214,BSU24310,,22860.890890011065,9.502243326209946e-05
MTHFR3_1_reverse,0.007917897743999999,BSU11010,,5498.3368860553,1.440053221198779e-06
MOHMT_reverse,0.0,BSU22430,,9.448195000072062,0.0
R01253_reverse,0.0,BSU32850,,1533.7595780078213,0.0
CYSTS_reverse,0.007908911543999999,BSU27260,,2463.6706464776585,3.2102146264182963e-06
RHCCE_reverse,0.0,BSU30670,,12691.732926415318,0.0
ACONTa_reverse,0.0,BSU18000,,36205.57328807148,0.0
GCALDDm_reverse_num1,0.0,BSU38830,,93.64554241718315,0.0
HMGL_reverse,0.0,BSU18230,,4359.290337073679,0.0
BDH_reverse,0.0,BSU38970,,36777.21905450657,0.0
R01365_reverse,0.0,BSU38980 and BSU38990,,,
R01387_reverse,0.0,BSU30870,,,
HPYRRx_reverse,0.0,BSU18560,,1175.7810567687673,0.0
MTAN_reverse,0.0,BSU27270,,554.6488488467617,0.0
XYLI1_reverse,0.0,BSU17600,,337.718783335043,0.0
VALDHr_reverse,0.021411201287999997,BSU24080,,4836.197648156262,4.42728003396692e-06
LCADi_reverse,0.0,BSU31220,,3320.938522514703,0.0
THRD_reverse,0.038403393725759995,BSU16990,,3922.6395615794067,9.790191814181698e-06
GPDDA2_reverse_num1,0.0,BSU09620,,267.8885775305276,0.0
GUI1_reverse,0.0,BSU12300,,4473.781249525451,0.0
DHBD_reverse,0.0,BSU32000,,2273.690432181388,0.0
PGKm_reverse,11.74534721502955,BSU33930,,55275.959601353126,0.00021248563208556276
PGCD_reverse,0.0,BSU23070,,32484.495392608686,0.0
PGM_reverse,11.74534721502955,BSU33910,,,
R01519_reverse,0.0,BSU33200,,71557.80162591429,0.0
R01520_reverse_num1,0.0,BSU02830,,16881893.649175256,0.0
RPEh_reverse,1.5214188488839782,BSU15790,,205574.58564745824,7.400811944201476e-06
DKII_reverse,0.0,BSU22140,,,
MPL_reverse,0.0,BSU34570,,1406.764964368736,0.0
PUNP1_reverse_num1,0.0,BSU23490,,327539.2228476859,0.0
TMDPP_reverse,0.0,,,,
ARABDI_reverse,0.0,,,,
R01582_reverse,0.0,BSU09670,,13161.452883034506,0.0
ACOATA_reverse_num1,0.0,BSU11330 and BSU11340,,5.5181096717814855,0.0
R01625_reverse,0.0,BSU04620 and BSU15920,,35.02148461813053,0.0
MCOATA_reverse,0.0,BSU15900,,690.4532046533452,0.0
R01641_reverse,0.0,BSU17890,,1605382.5042380006,0.0
ABTA_reverse,0.0,BSU03900,,1805.9899241487467,0.0
MTHFC_1_reverse,2.172297478908214,BSU24310,,22860.890890011065,9.502243326209946e-05
LCGH_reverse_num1,0.0,BSU34130,,1254.2216283864136,0.0
ADCS_reverse,0.0,BSU00740 and BSU00750,,0.21618679086403844,0.0
ICHORS_reverse_num1,0.0,BSU30830,,698.1773640751068,0.0
NAMNPP_reverse,0.0,BSU31750,,,
R01731_reverse,0.0,BSU22620,,13933.763368078706,0.0
HOXPRx_reverse,0.0,BSU13960,,15590.470916621236,0.0
r0393_reverse_num1,0.0,BSU07350,,92.7674482729905,0.0
R01758_reverse,0.0,,,,
ARAI_reverse,0.0,BSU28800,,15504.295741394275,0.0
HXAND_reverse,0.0,BSU32470 and BSU32480 and BSU32490 and BSU32510,,128.25339090745217,0.0
