gene_id	abundance
O07638	356
O07639	19.9
O07906	4.35
O07909	51.8
O07917	8.87
O07918	36.9
O07919	4.37
O07920	28.2
O07921	57.8
O07923	2.83
O07931	6.7
O07934	13.1
O07937	2.51
O07938	2.42
O07939	43.4
O07940	5.51
O07942	6.86
O07949	6.22
O08335	8.8
O08336	14.9
O08394	26.6
O08455	5.83
O08469	6.91
O24817	0.174
O30472	5.06
O30509	450
O30601	59.3
O31398	61.8
O31404	372
O31414	8.26
O31417	14.4
O31418	30
O31421	3.35
O31422	50.9
O31423	22.2
O31425	135
O31427	15.1
O31428	2.64
O31429	47.1
O31430	9.11
O31431	5.95
O31432	3.71
O31433	12.9
O31435	3.51
O31436	189
O31437	182
O31440	11
O31441	10.1
O31442	9.91
O31443	4.99
O31444	6.53
O31446	56.4
O31447	8.99
O31448	2.63
O31449	8.1
O31451	77.3
O31452	7.89
O31453	3.42
O31454	9.96
O31455	15.5
O31456	6.58
O31457	124
O31458	77.5
O31459	8.58
O31460	1.59
O31461	123
O31462	16.5
O31463	54.5
O31464	7.19
O31465	3.61
O31466	9.19
O31467	11.6
O31469	4.47
O31473	1.19
O31474	6.24
O31475	74.9
O31479	28.6
O31480	36.7
O31482	1.47
O31484	126
O31485	12.6
O31486	4.96
O31487	3.58
O31488	4.29
O31489	39.3
O31490	137
O31491	11.3
O31494	20.9
O31498	86
O31500	12.7
O31501	545
O31502	51.3
O31503	27
O31504	7.84
O31505	8.97
O31507	2.62
O31509	320
O31511	22.9
O31512	0.793
O31513	82.5
O31515	1.85
O31516	11.3
O31517	5.04
O31518	2.51
O31519	3.79
O31520	4.11
O31521	6.64
O31522	5.92
O31523	3.18
O31524	8.47
O31525	6.37
O31526	2.81
O31527	3.94
O31528	3.81
O31529	6.87
O31530	10.6
O31533	2.27
O31534	357
O31535	203
O31537	6.64
O31538	5.87
O31539	0.823
O31540	6.58
O31541	9.08
O31542	6.03
O31543	10.4
O31544	9.65
O31545	21.6
O31546	33.2
O31547	18.3
O31550	277
O31551	8.97
O31552	4.16
O31553	32.5
O31554	1.09
O31555	26.5
O31556	41.7
O31557	8.17
O31558	49.5
O31559	8.31
O31560	63.9
O31561	13.3
O31562	115
O31563	1.28
O31564	32.8
O31567	790
O31568	6.99
O31569	4.08
O31570	191
O31571	960
O31572	23
O31573	23.2
O31574	4.2
O31575	27.6
O31576	292
O31577	1.22
O31578	44.3
O31579	71.7
O31580	8.92
O31581	58.8
O31582	6.16
O31583	4.1
O31584	4.3
O31585	4.42
O31586	5.01
O31587	945
O31588	29.9
O31590	181
O31592	4.49
O31593	115
O31594	108
O31596	2.4
O31597	2.07
O31600	3.83
O31601	85.9
O31602	52.3
O31603	0.901
O31604	6.54
O31605	373
O31606	5.15
O31607	39.5
O31608	14
O31609	37.5
O31610	341
