gene_id	abundance
P12879	8089
P12921	3.95
P12946	24.8
P13242	318
P13243	3641
P13267	29.4
P13484	85.5
P13485	102
P13714	444
P13792	169
P13799	103
P13800	505
P13801	4.39
P14016	85.3
P14192	259
P14193	704
P14194	989
P14203	8.38
P14204	84.5
P14205	47
P14577	6815
P14802	371
P14949	2500
P14951	10.6
P15281	56.2
P15400	0.544
P15401	12.6
P15874	967
P16263	1566
P16304	1116
P16336	296
P16396	267
P16397	83.6
P16440	76
P16449	0.766
P16450	13.2
P16497	4.39
P16524	130
P16616	90.2
P16618	5.1
P16655	64.7
P16971	472
P17585	30.1
P17616	58.8
P17617	10.4
P17618	27.4
P17620	69.5
P17622	112
P17731	421
P17820	2526
P17865	894
P17867	11.6
P17868	9.1
P17869	69.9
P17889	752
P17893	118
P17894	36
P17896	16.3
P17903	569
P17904	370
P17906	53.4
P17921	352
P17922	386
P18156	121
P18157	133
P18158	177
P18185	148
P18186	479
P18255	412
P18256	125
P18429	1637
P18579	181
P19079	72
P19080	572
P19219	13.8
P19220	1.76
P19405	65.6
P19406	21.5
P19465	338
P19466	404
P19582	1341
P19638	34.4
P19669	2280
P19670	70.8
P19672	40.7
P19940	7.92
P19946	8097
P19947	6209
P19994	179
P20166	1404
P20167	6.5
P20277	3887
P20278	4969
P20282	4515
P20429	1720
P20458	931
P20487	11
P20668	41.4
P20691	523
P20692	143
P20964	146
P21203	35.6
P21204	44.2
P21248	6.11
P21335	8.56
P21340	77.7
P21341	3.3
P21344	4.87
P21458	12.8
P21464	3715
P21465	5463
P21466	5476
P21467	5199
P21468	11325
P21469	5578
P21470	1981
P21471	2816
P21472	4268
P21473	7461
P21474	9646
P21475	3309
P21476	4259
P21477	8715
P21478	5247
P21656	127
P21879	1227
P21880	3175
P21881	1794
P21882	2154
P21883	2710
P21884	33.2
P21885	23
P22250	392
P22322	5.69
P22326	276
P23054	0.876
P23261	8.1
P23308	5.01
P23446	1128
P23447	254
P23448	47.6
P23449	19.3
P23451	29.8
P23452	378
P23453	22.9
P23454	169
P23455	36
P23477	16.8
P23478	17.6
P23479	7.12
P23545	75.6
P23630	162
P23715	129
P23789	88.7
P23914	8.53
P23966	481
P23970	6.42
P23971	5.47
P23973	11.9
P23974	5.44
P24009	6.29
P24010	96.8
P24011	74.8
P24012	87.9
P24013	171
P24072	1138
P24073	98.9
P24136	64.4
P24137	42
P24138	102
P24139	136
P24141	1162
P24219	10.6
P24277	52.9
P24281	910
P24327	2371
P24469	476
P24500	8.1
P24501	66.5
P24502	33.8
P24808	5.65
P24809	265
P24810	3.27
P24811	11.4
P24812	14.4
P25052	786
P25053	47.2
P25144	221
P25148	38.3
P25149	2.38
P25150	6.49
P25151	6.5
P25152	6.36
P25499	8.71
P25503	27.8
P25811	34.2
P25812	176
P25813	75.6
P25814	175
P25953	17.5
P25954	3.94
P25955	364
P25956	1
P25957	6.98
P25958	3.3
P25959	6.22
P25971	309
P25972	668
P25983	134
P25993	282
P25994	423
P25996	198
P26212	12.9
P26379	28.2
P26380	54.9
P26381	3.2
P26382	12.1
P26497	112
P26899	112
P26900	59.7
P26901	760
P26902	46.6
P26903	23.4
P26904	26.9
P26905	15.2
P26906	219
P26907	1807
P26908	19173
P26935	35.6
P26936	3.38
P26937	3.15
P26942	11.5
P27206	546
P27620	19.1
P27621	2.32
P27622	14.1
P27623	323
P27643	3.14
P27876	2660
P28015	1326
P28264	129
P28366	310
P28367	196
P28368	1292
P28598	5893
P28599	6102
P28611	250
P28612	110
P28618	42.8
P28619	149
P28628	170
P28670	30.5
P28671	5.43
P28819	60.4
P28820	22.7
P28821	7.13
P28822	31.1
P28823	208
P29072	116
P29141	359
P29252	50.6
P29726	1073
P30300	38.8
P30949	208
P30950	184
P31080	158
P31102	257
P31103	664
P31104	716
P31105	105
P31112	22
P31113	32.2
P31114	12.8
P31847	86.7
P32081	27185
P32393	76.5
P32395	69.7
P32396	145
P32397	31.5
P32398	33.7
P32399	75.7
P32436	71
P32437	62.4
P32726	554
P32727	554
P32728	436
P32729	55.1
P32730	49.8
P32731	154
P32732	28.2
P32959	27.6
P32960	60.6
P33166	8788
P33189	46.2
P33449	8.69
P33690	7.19
P33911	141
P34956	585
P34957	1099
P34958	191
P34959	244
P35136	1413
P35137	889
P35146	31.4
P35149	63.8
P35150	4.35
P35151	12.1
P35154	5.55
P35155	44.7
P35156	33.3
P35157	6.81
P35159	218
P35161	29.5
P35162	32.1
P35163	305
P35164	34.1
P35165	55.1
P35166	16.8
P35528	6.46
P35536	10.4
P35537	0.609
P35538	6.69
P35620	65.9
P36430	379
P36838	91.5
P36839	202
P36843	548
P36944	6.65
P36945	308
P36946	105
P36947	66.5
P36948	59
P36949	226
P37104	137
P37105	152
P37251	409
P37252	1201
P37253	4465
P37437	1602
P37454	9.53
P37455	2064
P37464	298
P37465	266
P37466	86
P37467	27.9
P37468	54.1
P37469	7.01
P37470	150
P37471	37.2
P37472	712
P37474	43.8
P37475	12.1
P37476	1099
P37477	372
P37478	131
P37479	2.52
P37480	1.34
P37481	17.6
P37482	1
P37483	6.12
P37484	29.7
P37485	3.97
P37486	69.5
P37487	1375
P37488	4.93
P37489	2.74
P37490	62.3
P37491	65.4
P37492	5.4
P37493	5.8
P37494	316
P37495	3.64
P37496	3.91
P37497	12.6
P37498	3.42
P37499	5.41
P37500	2.21
P37501	13.8
P37502	23.9
P37503	54.7
P37504	10.8
P37506	10.7
P37507	29.6
P37508	12.4
P37509	2.14
P37510	12.1
P37511	1.72
P37512	7.07
P37513	31
P37514	4.99
P37515	45.3
P37516	6.98
P37517	8.77
P37518	392
P37519	9.46
P37520	2.69
P37521	6.55
P37522	4191
P37523	3.49
P37524	61.5
P37525	30.1
P37526	3.47
P37527	1838
P37528	460
P37529	62.7
P37530	27.6
P37531	3.42
P37532	7.34
P37533	96
P37534	11.8
P37535	39.5
P37536	2.99
P37537	90.2
P37538	676
P37539	114
P37540	10.6
P37541	71.6
P37542	77.2
P37543	14.8
P37544	24.1
P37545	44
P37546	12.5
P37547	21.3
P37548	6.07
P37549	14.5
P37550	65.5
P37551	141
P37552	1062
P37553	11.8
P37554	12
P37555	2.56
P37556	66.4
P37557	809
P37558	3.92
P37559	2.11
P37560	846
P37561	3.02
P37562	11.9
P37563	5.29
P37564	19.9
P37565	188
P37566	106
P37567	11
P37568	19.7
P37569	39.6
P37570	40.3
P37571	714
P37572	15.7
P37573	26.6
P37574	7.38
P37575	21.3
P37580	625
P37582	34.8
P37584	41.7
P37585	58.3
P37599	138
P37807	1175
P37808	1214
P37809	1314
P37810	467
P37811	500
P37812	610
P37813	221
P37814	2613
P37815	516
P37816	1.69
P37817	12.3
P37869	3411
P37870	787
P37871	696
P37872	253
P37873	0.443
P37874	7.04
P37875	10.1
P37876	59.2
P37877	522
P37878	14.4
P37887	2204
P37940	207
P37941	169
P37942	279
P37944	221
P37945	105
P37946	367
P37947	8.44
P37948	2.51
P37949	122
P37953	1.38
P37954	39.2
P37955	0.835
P37956	5.99
P37957	612
P37958	125
P37959	7.55
P37960	334
P37963	16.9
P37964	7.5
P37965	23.1
P37966	6.75
P37967	105
P37968	7.13
P38021	213
P38022	6.81
P38032	85.4
P38033	25.1
P38048	17.1
P38049	299
P38050	12.3
P38422	8.16
P38424	217
P38425	8.46
P38490	6.39
P38491	18.3
P38492	8.94
P38493	471
P38494	2087
P39062	121
P39063	3.24
P39064	4
P39065	17.7
P39066	32.8
P39067	6.62
P39070	87.6
P39071	265
P39072	21.2
P39074	5.01
P39075	5.21
P39115	18.4
P39116	1989
P39118	4.87
P39119	5.42
P39120	685
P39121	378
P39122	5.15
P39123	9.19
P39124	5.87
P39125	4.73
P39126	2899
P39127	5.74
P39128	1.79
P39129	2.93
P39130	4.7
P39131	22.5
P39132	45.5
P39133	13.3
P39134	46.3
P39135	4.89
P39137	24.4
P39138	434
P39139	10.4
P39140	12.3
P39141	36.9
P39142	203
P39143	4.77
P39145	14.6
P39146	24.5
P39147	22
P39148	3145
P39149	714
P39151	11.4
P39152	6.77
P39153	9.39
P39155	54.4
P39156	278
P39157	88.3
P39158	954
P39209	22.9
P39211	6.19
P39214	321
P39215	301
P39216	101
P39217	189
P39456	21.8
P39569	3.92
P39570	0.755
P39571	13.9
P39574	41
P39575	25.7
P39576	485
P39577	12.6
P39578	77.5
P39579	177
P39580	2.99
P39581	109
P39582	15.7
P39583	9.32
P39584	2.64
P39585	2.11
P39586	368
P39587	29.8
P39588	6.74
P39589	0.637
P39590	4.34
P39591	3.91
P39592	6.87
P39593	50.1
P39594	176
P39595	47.5
P39596	330
P39597	33.4
P39598	38.7
P39599	4.82
P39600	11.6
P39601	5.5
P39602	4.13
P39604	3.74
P39605	140
P39606	4.72
P39607	8.68
P39608	2.41
P39609	8.21
P39610	300
P39612	0.432
P39614	34.7
P39615	42.5
P39616	5.28
P39617	117
P39618	9.6
P39620	46.4
P39621	15.2
P39622	7.37
P39623	3.75
P39624	4.9
P39625	4.17
P39626	8.35
P39627	5.38
P39629	0.746
P39630	4.61
P39631	7.12
P39632	12297
P39633	97
P39634	215
P39635	4.19
P39636	6.07
P39637	3.07
P39638	7.52
P39639	71.4
P39640	43.6
P39641	97.2
P39642	12.2
P39643	8.95
P39644	205
P39645	196
P39646	1091
P39647	9.18
P39648	29
P39649	2.25
P39650	7.84
P39651	15
P39666	564
P39667	111
P39668	1.84
P39694	132
P39695	4.78
P39696	13.5
P39737	115
P39738	344
P39739	35.8
P39740	27.2
P39751	569
P39752	40.3
P39753	87.9
P39755	3.46
P39756	19.1
P39757	14.8
P39758	293
P39759	23.9
P39760	216
P39762	218
P39763	5.13
P39764	12.8
P39765	457
P39771	129
P39772	499
P39773	629
P39775	80
P39776	8.64
P39778	266
P39779	674
P39780	7.24
P39781	11.9
P39782	6.89
P39783	6.83
P39784	10.3
P39785	6.5
P39786	7.45
P39787	22.2
P39788	21.6
P39789	14.4
P39790	242
P39791	4.17
P39792	14.9
P39793	200
P39794	285
P39795	75.9
P39796	3.72
P39797	40.1
P39798	6.49
P39800	6.95
P39802	234
P39803	5.38
P39804	22.1
P39805	36.1
P39807	55.7
P39808	15.8
P39809	2.19
P39810	259
P39812	580
P39813	13.8
P39814	178
P39815	65.2
P39816	63.7
P39817	3.63
P39820	45.8
P39821	99.2
P39822	12.6
P39823	14.7
P39824	167
P39839	11
P39840	42.2
P39841	31.6
P39842	9.08
P39843	4.71
P39844	3.06
P39845	9.45
P39846	6.97
P39847	11.3
P39848	57
P39899	3.3
P39909	5.38
P39910	5.22
P39911	50.7
P39912	2663
P39914	426
P40331	3.13
P40332	11.1
P40396	28.4
P40397	3.77
P40398	25.3
P40399	19.3
P40400	2
P40401	3.78
P40402	1.67
P40403	8.44
P40404	23.6
P40405	21.9
P40406	1.85
P40407	4.85
P40408	4.68
P40409	231
P40410	2.56
P40411	1.59
P40420	3.37
P40735	6.02
P40736	2.34
P40737	375
P40738	0.788
P40739	19.2
P40740	40.5
P40742	7.41
P40746	1.51
P40747	5.51
P40750	53.1
P40758	2.35
P40759	8.35
P40760	1.64
P40761	68.2
P40762	71
P40766	27.5
P40767	655
P40768	140
P40769	3.79
P40770	2.09
P40773	2.75
P40775	10.4
P40778	143
P40779	468
P40780	1051
P40802	7.2
P40804	12.5
P40805	4.29
P40806	6.06
P40830	12.2
P40867	1.28
P40868	9.47
P40869	5.09
P40870	9.28
P40871	183
P40872	6.29
P40924	2183
P40948	3.37
P40949	28.5
P40950	12.6
P42060	11979
P42063	161
P42064	57.2
P42065	97
P42068	2.96
P42084	9.36
P42085	1017
P42086	75.5
P42087	6.5
P42089	27.2
P42090	3.04
P42091	3.58
P42092	2.77
P42093	2.67
P42094	1.04
P42095	6.73
P42100	6.08
P42101	9.17
P42103	13.8
P42105	35.7
P42106	7.52
P42108	372
P42109	8.59
P42111	329
P42112	44
P42113	23.9
P42175	19.2
P42176	22.6
P42177	4.78
P42178	27
P42182	103
P42199	356
P42200	45
P42234	45.7
P42235	3.36
P42236	8.34
P42237	1.68
P42238	4.68
P42239	17.3
P42240	3.27
P42242	15.7
P42243	0.825
P42244	4.83
P42245	1.06
P42249	13
P42250	14.2
P42251	50.2
P42252	3.87
P42253	8.58
P42293	7.63
P42294	17.5
P42295	18
P42296	11.1
P42297	285
P42298	63.8
P42299	46.9
P42300	5.28
P42301	13.5
P42302	1.27
P42304	7.65
P42305	13.5
P42306	9.5
P42307	5.8
P42308	9.28
P42310	8.62
P42311	14.4
P42312	103
P42313	11.4
P42314	2.44
P42315	4.41
P42316	7.74
P42317	4.81
P42318	1245
P42319	363
P42320	5.03
P42399	0.766
P42400	95.9
P42401	14.4
P42402	3.86
P42403	5.48
P42404	1.05
P42405	12.8
P42406	7.68
P42407	2.89
P42408	3.35
P42409	91.5
P42410	48.1
P42411	197
P42412	35.7
P42413	45.4
P42414	43.3
P42415	36.2
P42416	24.9
P42418	14.6
P42419	18.5
P42420	10.9
P42421	6.58
P42422	3.82
P42423	8.29
P42424	2.59
P42425	4.78
P42430	35
P42433	7.83
P42434	8.14
P42435	14.5
P42436	14.8
P42437	6.7
P42919	2638
P42920	7636
P42921	14481
P42923	3861
P42924	9185
P42953	33.2
P42954	60.4
P42955	108
P42956	17
P42958	24.1
P42959	23.7
P42961	130
P42963	164
P42964	8.86
P42966	12.5
P42968	21
P42969	5.72
P42971	415
P42972	24.5
P42973	45.2
P42974	495
P42976	95.3
P42977	17.2
P42978	2.5
P42979	156
P42980	126
P42981	15
P42982	14.1
P42983	6.52
P45453	9.81
P45693	368
P45694	1513
P45706	4.32
P45707	5.97
P45708	1017
P45709	119
P45710	32.3
P45711	94.5
P45740	1281
P45742	12.7
P45743	410
P45744	198
P45745	66.9
P45855	8.72
P45856	3.77
P45857	4.66
P45858	9.58
P45859	11.2
P45860	6.48
P45861	76.4
P45862	65.6
P45863	29
P45864	3.45
P45865	2.44
P45866	12.7
P45867	9.73
P45868	163
P45869	105
P45870	4.21
P45871	41.9
P45872	218
P45873	12.6
P45874	2.69
P45899	3.39
P45900	5.58
P45901	22.7
P45902	118
P45903	1.5
P45904	8.45
P45905	4.75
P45906	2.38
P45907	5.36
P45908	3.13
P45909	4.33
P45910	19.8
P45911	8.18
P45912	2.14
P45913	624
P45914	37.5
P45915	8.84
P45916	12.2
P45917	4.37
P45918	10.8
P45919	83.1
P45920	4.15
P45921	4.12
P45922	8.11
P45923	0.093
P45924	3.86
P45925	9.18
P45926	6.46
P45927	5.89
P45929	89.3
P45930	2.27
P45931	5.36
P45932	2.41
P45933	3.45
P45934	3.37
P45935	4.86
P45936	6.91
P45937	2.24
P45939	5.75
P45940	3.21
P45941	349
P45942	32.4
P45943	6.7
P45944	13
P45945	33.1
P45946	2.25
P45947	69.5
P45948	13.3
P45949	30.8
P45950	3.14
P46208	295
P46317	15
P46318	137
P46319	43.1
P46320	115
P46321	10.3
P46322	76.2
P46323	73.7
P46324	72.9
P46325	238
P46326	46
P46327	263
P46328	110
P46329	6.98
P46330	2.89
P46331	7.01
P46333	13.8
P46334	5.09
P46336	384
P46337	39.3
P46338	500
P46339	13.1
P46340	13
P46341	18.1
P46342	22.8
P46343	79.9
P46344	84.8
P46347	109
P46348	3.25
P46349	39.3
P46350	11.9
P46352	12.6
P46353	489
P46354	556
P46898	8346
P46899	4658
P46903	11.7
P46904	5.11
P46905	18.3
P46906	272
P46907	1.34
P46908	8.68
P46909	3.89
P46910	4.38
P46911	454
P46912	152
P46913	68.1
P46914	11
P46915	4.15
P46916	5.74
P46917	7.04
P46918	82.1
P46919	102
P46920	297
P46921	715
P46922	268
P49778	1476
P49781	1.9
P49782	2.56
P49783	3.28
P49784	6.23
P49785	31.8
P49786	1386
P49787	319
P49814	4271
P49849	19
P49850	29.4
P49851	62.4
P49852	19.7
P49853	1.58
P49854	9.46
P49855	4.48
P49856	2.8
P49857	2.76
P49936	4.06
P49937	6.89
P49938	20
P49939	6.7
P49940	0.256
P49941	5.03
P50618	44.5
P50619	84.5
P50620	167
P50621	120
P50726	4.35
P50727	985
P50728	10.9
P50729	5.1
P50730	2.04
P50731	102
P50732	8.45
P50733	4.93
P50734	29.4
P50735	306
P50736	89.5
P50738	1.93
P50739	11.6
P50740	6.96
P50741	1.57
P50742	4.42
P50743	105
P50744	15.1
P50829	310
P50830	8.88
P50831	13.9
P50832	9.88
P50833	15.3
P50834	14.3
P50835	17.8
P50836	3.29
P50837	7.14
P50838	35.9
P50840	48.9
P50841	0.264
P50842	32.9
P50843	141
P50844	2.77
P50845	9.11
P50846	18.4
P50847	0.8
P50848	223
P50849	668
P50850	5.04
P50862	3.38
P50863	158
P50864	7.82
P50865	1.93
P50866	566
P51777	26545
P51785	472
P51831	996
P51833	162
P51834	41.7
P51835	152
P52035	108
P52996	185
P52998	134
P52999	587
P53001	1017
P53554	72.1
P53555	249
P53556	25.9
P53557	313
P53558	123
P53559	95.7
P53560	43
P53561	0.456
P54154	119
P54155	84.7
P54156	8.57
P54157	1.33
P54158	2.13
P54159	35.5
P54160	75.7
P54161	14.7
P54162	54.4
P54163	3.03
P54164	12.1
P54165	29.6
P54166	17
P54167	50
P54168	12.3
P54169	193
P54170	679
P54171	4.17
P54172	22.8
P54173	262
P54174	1.88
P54175	11.1
P54177	3.05
P54178	185
P54179	134
P54181	0.569
P54182	91.2
P54304	11
P54325	3.25
P54326	14.8
P54327	84.5
P54328	4.65
P54329	3.95
P54330	4.32
P54331	167
P54332	188
P54333	12.4
P54334	10.4
P54335	1.9
P54336	4.02
P54337	0.4
P54338	0.887
P54339	6.42
P54340	3.92
P54341	17.7
P54342	5.72
P54343	3.86
P54344	3.13
P54372	5.05
P54373	7.78
P54374	42.2
P54375	2993
P54376	119
P54377	164
P54378	209
P54379	4.87
P54380	76.7
P54381	226
P54382	1103
P54383	48.1
P54389	31.5
P54390	62.4
P54391	11.6
P54392	22.6
P54393	6.68
P54394	21
P54395	119
P54396	114
P54417	23.3
P54418	352
P54419	861
P54420	232
P54422	9.98
P54423	289
P54425	39.1
P54426	4.78
P54427	38.2
P54428	32.6
P54429	4.91
P54430	2.84
P54431	45.1
P54432	23.9
P54433	9.4
P54435	5.38
P54436	14.2
P54437	1.3
P54438	3.04
P54439	82.7
P54441	10.8
P54442	4.29
P54443	6.97
P54444	3.43
P54445	2.02
P54448	2.76
P54449	1.78
P54450	10.1
P54451	4.94
P54452	194
P54453	70.6
P54454	759
P54455	66.6
P54456	152
P54457	487
P54458	29.4
P54459	10.9
P54460	48.2
P54461	52.5
P54462	44
P54463	1.61
P54464	1511
P54465	68.1
P54466	1064
P54467	56.8
P54468	7.23
P54469	3.18
P54470	129
P54471	46.1
P54472	100
P54473	76.2
P54474	15.2
P54475	181
P54476	68.5
P54477	33.3
P54478	26.4
P54479	35
P54480	15.9
P54481	4.43
P54482	174
P54483	3
P54484	331
P54485	24.5
P54486	5.25
P54487	3.42
P54488	32.6
P54489	4.89
P54490	2.37
P54491	25.7
P54492	0.598
P54493	3.82
P54494	19.2
P54495	43.4
P54496	22.3
P54497	6.3
P54498	8.39
P54499	178
P54501	104
P54502	13.5
P54503	3.99
P54504	12.8
P54505	6.41
P54506	82.2
P54507	2877
P54508	8.21
P54509	7.41
P54510	701
P54511	73.1
P54512	235
P54513	4.23
P54514	24.9
P54515	16.6
P54516	13.2
P54517	292
P54518	126
P54519	355
P54520	154
P54521	27.4
P54522	172
P54523	38
P54524	70.9
P54525	3.03
P54527	20.3
P54528	12.9
P54529	19.4
P54530	121
P54531	338
P54532	63.7
P54533	156
P54534	560
P54535	1976
P54536	293
P54537	334
P54538	8.28
P54539	4.11
P54540	0.538
P54541	6.97
P54542	370
P54543	1.39
P54544	50.1
P54545	15.9
P54547	495
P54548	31.1
P54549	3.5
P54550	80.6
P54551	15.5
P54552	38.7
P54553	6.36
P54554	22
P54555	17.2
P54556	4.59
P54557	6.91
P54558	14.5
P54559	5.47
P54560	5.02
P54561	9.14
P54562	273
P54563	105
P54564	9.72
P54565	315
P54566	14.8
P54567	3.55
P54568	16.7
P54569	109
P54570	265
P54571	57.5
P54572	93
P54573	44.3
P54574	379
P54575	42.1
P54576	275
P54585	1.3
P54586	107
P54587	17
P54590	26
P54591	11.8
P54592	46.6
P54593	48.5
P54594	4.46
P54595	7.78
P54596	37.6
P54597	7.39
P54598	94.6
P54599	9.95
P54601	17.8
P54602	24
P54603	28.7
P54604	5.49
P54605	1.79
P54607	51.2
P54608	37.5
P54616	797
P54617	330
P54715	16.2
P54716	65.9
P54717	23.6
P54718	1.92
P54719	2.1
P54720	9.73
P54721	2.18
P54722	6.32
P54723	6.01
P54724	3.27
P54940	6.55
P54941	430
P54942	10.5
P54943	1.42
P54944	9.35
P54945	25.7
P54946	3.98
P54947	106
P54948	1.59
P54950	47.2
P54951	22.7
P54952	156
P54953	16.8
P54954	33.7
P54955	27.3
P54956	5.41
P54957	8.66
P54983	58.6
P55069	38.7
P55179	255
P55180	260
P55181	3.75
P55182	5.01
P55183	3.82
P55184	8.72
P55185	3.15
P55189	2.34
P55190	1.21
P55192	8.76
P55339	105
P55340	25.6
P55341	7.15
P55342	51.2
P55343	38
P55872	2163
P55873	6664
P55874	4028
P55908	95.5
P55909	4.66
P55910	17.4
P56849	3031
P60495	50.1
P68522	16.1
P68524	2.73
P68569	61.7
P68571	3.22
P68573	6.45
P68575	564
P68577	12.6
P68579	37.1
P68581	2.44
P68583	6.54
P68585	5.88
P68729	183
P68731	19.4
P68736	75
P70945	60.6
P70947	24.5
P70948	16.1
P70949	367
P70952	10.6
P70954	11.2
P70955	2.42
P70958	5.66
P70960	4.82
P70961	3.73
P70962	57.5
P70963	2.29
P70964	36.7
P70965	150
P70966	0.734
P70970	15.1
P70972	3.79
P70973	11.6
P70974	3603
P70976	16.7
P70981	5.64
P70993	74.1
P70994	1322
P70995	40.3
P70996	234
P70997	5.24
P70998	274
P70999	124
P71000	2.32
P71002	77.9
P71003	2.14
P71004	1.86
P71005	20.6
P71006	4.59
P71007	2.38
P71008	3.42
P71009	35.6
P71010	2.89
P71011	41.1
P71012	161
P71013	204
P71014	410
P71015	61.8
P71016	12.6
P71017	26
P71018	107
P71019	319
P71020	7.59
P71021	965
P71025	16.6
P71031	8.76
P71032	27.3
P71035	40.3
P71036	104
P71037	60.6
P71038	548
P71039	12.1
P71040	12.5
P71041	5.54
P71042	53.5
P71043	85.1
P71044	137
P71045	4.68
P71046	14.8
P71047	36.7
P71049	64.1
P71050	5.14
P71051	23.5
P71052	4.04
P71053	7.16
P71054	8.91
P71055	8.77
P71056	1.34
P71057	17.9
P71058	18.1
P71059	4.97
P71062	4.44
P71063	19.4
P71065	3.58
P71066	315
P71067	301
P71070	184
P71071	99.5
P71073	5.91
P71079	457
P71080	8.83
P71082	20
P71083	10.4
P71084	99.3
P71086	111
P71088	376
P71089	2.06
P75030	46.1
P77837	56.5
P80238	196
P80239	4676
P80240	2628
P80241	325
P80242	137
P80244	1751
P80643	2726
P80698	4048
P80700	4087
P80858	425
P80859	1163
P80860	967
P80861	978
P80862	702
P80864	1295
P80865	1968
P80866	1465
P80868	3560
P80869	12.2
P80870	2713
P80871	279
P80872	64.9
P80873	21.6
P80874	56.4
P80875	2233
P80876	98.1
P80877	2648
P80878	59.9
P80879	1518
P80880	352
P80885	1324
P80886	2279
P81100	636
P81101	1893
P81102	823
P94352	114
P94356	8060
P94357	19.8
P94358	2.76
P94359	5.45
P94360	45.7
P94361	7.42
P94362	8.8
P94363	5.83
P94364	25.8
P94365	6.75
P94366	1.99
P94367	5.9
P94368	8.47
P94369	10.8
P94370	4.64
P94371	36.1
P94372	15.2
P94373	2.44
P94374	10.1
P94375	1.95
P94376	0.468
P94377	22.9
P94378	21
P94381	3.49
P94387	5.56
P94388	132
P94389	15.8
P94390	29.5
P94391	142
P94392	47.7
P94393	10.9
P94394	1.67
P94395	3.6
P94396	2.76
P94400	453
P94403	1.81
P94404	3.52
P94405	13.7
P94407	9.86
P94408	5.72
P94409	1.44
P94411	4.14
P94412	5.21
P94413	21.9
P94414	12.7
P94415	33.6
P94417	158
P94418	2.69
P94419	1.06
P94420	57
P94421	841
P94422	14.8
P94423	3.71
P94424	39.3
P94425	539
P94426	2.61
P94427	7.87
P94428	129
P94431	565
P94433	18.1
P94434	46.6
P94437	5.94
P94438	8.07
P94439	11.9
P94440	3.22
P94441	5.24
P94442	2.46
P94443	89.8
P94446	6.34
P94447	17.4
P94459	7.75
P94461	9.22
P94462	46.1
P94463	141
P94464	32.7
P94465	4.17
P94474	34.4
P94478	11.7
P94479	15.9
P94481	8.64
P94482	13
P94483	5.93
P94484	3.99
P94487	0.691
P94488	6.01
P94489	3.83
P94490	10.2
P94492	40.7
P94493	2.64
P94494	9.52
P94495	23.1
P94497	3.76
P94498	281
P94499	1.43
P94500	5.81
P94501	7.01
P94502	2.5
P94504	43.8
P94507	81
P94512	327
P94513	6.37
P94514	1.77
P94515	1357
P94516	372
P94517	38.7
P94519	5.87
P94520	84.7
P94521	224
P94522	26.6
P94524	6.26
P94525	4.31
P94526	4.48
P94527	7.07
P94528	8.95
P94529	0.492
P94530	1.48
P94531	7.36
P94532	16.4
P94533	4.74
P94534	17.4
P94535	20.9
P94536	7.88
P94537	28.8
P94538	6.73
P94541	22.4
P94542	16.1
P94543	50.4
P94544	49
P94545	48.2
P94546	47.8
P94547	4.97
P94548	63.3
P94549	82.2
P94550	149
P94551	121
P94552	5.4
P94556	45.7
P94558	337
P94559	106
P94560	25.1
P94562	2.59
P94565	694
P94568	439
P94569	6.63
P94571	5.18
P94572	6.63
P94573	27.2
P94574	1.34
P94575	8
P94576	383
P94577	1.34
P94578	10.7
P94583	7.05
P94584	255
P94585	313
P94586	4.37
P94587	11.3
P94588	125
P94589	5.77
P94591	9.21
P94592	48.1
P94593	6.88
P96499	171
P96501	361
P96502	5.6
P96503	111
P96574	3.87
P96575	7.42
P96576	10.8
P96578	14.2
P96579	151
P96581	1.88
P96582	31.2
P96583	73.4
P96585	5.65
P96587	4.61
P96589	8.68
P96590	2.69
P96591	13.4
P96593	21.9
P96595	18.9
P96596	12.3
P96597	46.2
P96598	8.75
P96600	5.29
P96601	4.73
P96602	7.36
P96603	219
P96604	13.2
P96605	66.8
P96606	1.62
P96608	56.1
P96609	11
P96610	2.62
P96611	511
P96612	217
P96613	103
P96614	469
P96615	104
P96616	12.6
P96617	0.239
P96618	29.8
P96619	40.5
P96621	39.2
P96622	73
P96623	3.87
P96624	8.56
P96625	5.18
P96628	33.2
P96629	14.2
P96630	2.84
P96631	31
P96632	1.8
P96633	7.67
P96634	10.3
P96635	6.84
P96636	0.578
P96637	3.26
P96638	18.6
P96640	9.55
P96641	6.63
P96642	11.9
P96643	10.8
P96644	8.79
P96645	5.22
P96646	3.15
P96647	246
P96648	69.2
P96649	13.7
P96650	20.9
P96651	3.76
P96652	23.9
P96653	5.45
P96654	10.8
P96655	6.13
P96656	4.76
P96657	2.91
P96658	2.34
P96659	7.12
P96660	5.91
P96661	2.52
P96662	20.2
P96663	8.13
P96664	2.04
P96666	25.2
P96667	106
P96668	3.32
P96669	3.31
P96670	39.2
P96671	16.7
P96672	109
P96673	36.7
P96674	25.4
P96675	2.55
P96676	88.3
P96677	11.3
P96678	4.62
P96679	3.59
P96681	2.9
P96682	4.64
P96683	11.4
P96684	54.1
P96685	7.46
P96686	26.2
P96687	6.74
P96688	24.5
P96690	5.5
P96692	5.4
P96693	3.87
P96694	2.93
P96695	2.79
P96696	5.73
P96697	1.07
P96698	2.09
P96700	0.538
P96701	10.7
P96702	10.6
P96703	11.7
P96704	56.9
P96705	18.7
P96706	38.8
P96707	122
P96708	16.8
P96709	8.58
P96710	1.02
P96711	9.36
P96714	4.18
P96715	44
