id,fluxes,equ,ec-code,kcat_MW,E
GLCpts_num3,0,glc__D_e + pep_c --> g6p_A_c + pyr_c,2.7.3.9,1003.923562,0
GLCpts_num4,3.439586116,glc__D_e + pep_c --> g6p_A_c + pyr_c,2.7.3.9,1494.691493,0.002301201
GLCpts_num5,0,glc__D_e + pep_c --> g6p_A_c + pyr_c,2.7.3.9,1334.071148,0
LEUt2r_num2,0,h_e + leu__L_e --> h_c + leu__L_c,,426921.8041,0
ILEt2r_num2,0,h_e + ile__L_e --> h_c + ile__L_c,,426921.8041,0
rxn05247_num2,0,atp_c + coa_c + fa1_c + h_c --> amp_c + fa1coa_c + ppi_c,6.2.1.16,392.0196276,0
rxn05247_num3,0,atp_c + coa_c + fa1_c + h_c --> amp_c + fa1coa_c + ppi_c,6.2.1.16,400.078477,0
rxn05247_num4,0,atp_c + coa_c + fa1_c + h_c --> amp_c + fa1coa_c + ppi_c,6.2.1.16,43.66681781,0
rxn05248_num2,0,atp_c + coa_c + fa4_c + h_c --> amp_c + fa4coa_c + ppi_c,6.2.1.16,392.0196276,0
rxn05248_num3,0,atp_c + coa_c + fa4_c + h_c --> amp_c + fa4coa_c + ppi_c,6.2.1.16,400.078477,0
rxn05248_num4,0,atp_c + coa_c + fa4_c + h_c --> amp_c + fa4coa_c + ppi_c,6.2.1.16,43.66681781,0
rxn05249_num2,0,atp_c + coa_c + fa3_c + h_c --> amp_c + fa3coa_c + ppi_c,6.2.1.16,392.0196276,0
rxn05249_num3,0,atp_c + coa_c + fa3_c + h_c --> amp_c + fa3coa_c + ppi_c,6.2.1.16,400.078477,0
rxn05249_num4,0,atp_c + coa_c + fa3_c + h_c --> amp_c + fa3coa_c + ppi_c,6.2.1.16,43.66681781,0
rxn05250_num2,0,atp_c + coa_c + fa6_c + h_c --> amp_c + fa6coa_c + ppi_c,6.2.1.16,392.0196276,0
rxn05250_num3,0,atp_c + coa_c + fa6_c + h_c --> amp_c + fa6coa_c + ppi_c,6.2.1.16,400.078477,0
rxn05250_num4,0,atp_c + coa_c + fa6_c + h_c --> amp_c + fa6coa_c + ppi_c,6.2.1.16,43.66681781,0
rxn05251_num2,0,atp_c + coa_c + fa12_c + h_c --> amp_c + fa12coa_c + ppi_c,6.2.1.16,392.0196276,0
