id,fluxes,equ,ec-code,kcat_MW,E
EX_h2o_e,26.4945999,h2o_e --> ,,,
EX_o2_e,-14.94685266,o2_e <-- ,,,
EX_pi_e,0,pi_e --> ,,,
EX_co2_e,15.85898139,co2_e --> ,,,
EX_ppi_e,2.690673553,ppi_e --> ,,,
EX_nh4_e,0,nh4_e --> ,,,
EX_amp_e,0,amp_e --> ,,,
EX_pyr_e,0,pyr_e --> ,,,
EX_glu__L_e,0,glu__L_e --> ,,,
EX_akg_e,0,akg_e --> ,,,
EX_pheme_e,0,pheme_e --> ,,,
EX_ac_e,0,ac_e --> ,,,
EX_mn2_e,0,mn2_e --> ,,,
EX_gly_e,0,gly_e --> ,,,
EX_zn2_e,0,zn2_e --> ,,,
EX_ala__L_e,0,ala__L_e --> ,,,
EX_succ_e,0,succ_e --> ,,,
EX_lys__L_e,0,lys__L_e --> ,,,
EX_glx_e,0,glx_e --> ,,,
EX_asp__L_e,0,asp__L_e --> ,,,
EX_cmp_e,0,cmp_e --> ,,,
EX_for_e,0,for_e --> ,,,
EX_so4_e,0,so4_e --> ,,,
EX_arg__L_e,0,arg__L_e --> ,,,
EX_gln__L_e,0,gln__L_e --> ,,,
EX_ser__L_e,0,ser__L_e --> ,,,
EX_cu2_e,0,cu2_e --> ,,,
EX_met__L_e,0,met__L_e --> ,,,
EX_pep_e,0,pep_e --> ,,,
EX_ca2_e,0,ca2_e --> ,,,
EX_orn_e,0,orn_e --> ,,,
EX_trp__L_e,0,trp__L_e --> ,,,
EX_h_e,0,h_e --> ,,,
EX_tyr__L_e,0,tyr__L_e --> ,,,
EX_urea_e,0,urea_e --> ,,,
EX_no2_e,0,no2_e --> ,,,
EX_sucr_e,0,sucr_e --> ,,,
EX_glyc3p_e,0,glyc3p_e --> ,,,
EX_fru_e,0,fru_e --> ,,,
EX_cys__L_e,0,cys__L_e --> ,,,
EX_ala_B_e,0,ala_B_e --> ,,,
EX_g1p_e,0,g1p_e --> ,,,
EX_ump_e,0,ump_e --> ,,,
EX_ura_e,0,ura_e --> ,,,
EX_chol_e,0,chol_e --> ,,,
EX_glyc_e,0,glyc_e --> ,,,
EX_btn_e,0,btn_e --> ,,,
EX_rib__D_e,0,rib__D_e --> ,,,
EX_fum_e,0,fum_e --> ,,,
EX_leu__L_e,0,leu__L_e --> ,,,
EX_gal_e,0,gal_e --> ,,,
EX_ala__D_e,0,ala__D_e --> ,,,
EX_his__L_e,0,his__L_e --> ,,,
EX_inost_e,0,inost_e --> ,,,
EX_acgam_e,0,acgam_e --> ,,,
EX_gmp_e,0,gmp_e --> ,,,
EX_ade_e,0,ade_e --> ,,,
EX_pro__L_e,0,pro__L_e --> ,,,
EX_mal__L_e,0,mal__L_e --> ,,,
EX_asn__L_e,0,asn__L_e --> ,,,
EX_cit_e,0,cit_e --> ,,,
EX_man_e,0,man_e --> ,,,
EX_glyclt_e,0,glyclt_e --> ,,,
EX_prpnte_e,0,prpnte_e --> ,,,
EX_acac_e,0,acac_e --> ,,,
EX_cbp_e,0,cbp_e --> ,,,
EX_cobalt2_e,0,cobalt2_e --> ,,,
EX_xyl__D_e,0,xyl__D_e --> ,,,
EX_glycogen_e,0,glycogen_e --> ,,,
EX_val__L_e,0,val__L_e --> ,,,
EX_dha_e,0,dha_e --> ,,,
EX_cellb_e,0,cellb_e --> ,,,
EX_lac__L_e,0,lac__L_e --> ,,,
EX_thr__L_e,0,thr__L_e --> ,,,
EX_etha_e,0,etha_e --> ,,,
EX_glcur_e,0,glcur_e --> ,,,
EX_3pg_e,0,3pg_e --> ,,,
EX_2ddglcn_e,0,2ddglcn_e --> ,,,
EX_malt_e,0,malt_e --> ,,,
EX_adn_e,0,adn_e --> ,,,
EX_thymd_e,0,thymd_e --> ,,,
