,GEM_flux,ecGEM_flux
EX_glc__D_e,0.6131207499554726,0.5629782901535071
EX_fru_e,0.8693604436846196,0.4280269273204376
EX_6pgc_e,0.8180630957424446,0.3765593494297416
EX_succ_e/EX_glu__L_e,0.6552783630903792,0.22608641978446936
EX_glyc_e,0.6906507678195553,0.2708769794174437
EX_pyr_e,0.6528911232245197,0.21594059997227324
EX_mal__L_e,1.4420561933251517,0.6181364222995651
EX_glc__D_e/EX_mal__L_e,1.4714355797195244,0.6427537439751498
